spawn telnet localhost 3483
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11B238 EBP=0x11B2A8
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:140, time:1416455, size:135808 
checkpoint:141, time:2831214, size:270976 
checkpoint:142, time:1415727, size:135808 
checkpoint:143, time:1417134, size:135808 
checkpoint:144, time:4165946, size:398592 
checkpoint:145, time:5543070, size:526080 
checkpoint:146, time:1419725, size:135808 
checkpoint:147, time:4171658, size:398592 
checkpoint:148, time:4170751, size:398592 
checkpoint:149, time:4175308, size:398592 
checkpoint:150, time:2829431, size:270976 
checkpoint:151, time:2830466, size:270976 
checkpoint:152, time:1417355, size:135808 
checkpoint:153, time:1416368, size:135808 
checkpoint:154, time:1416417, size:135808 
checkpoint:155, time:1416774, size:135808 
checkpoint:156, time:2831244, size:270976 
checkpoint:157, time:2829973, size:270976 
checkpoint:158, time:4171238, size:398592 
checkpoint:159, time:1418489, size:135808 
checkpoint:160, time:2828767, size:270976 
checkpoint:161, time:2784260, size:267008 
checkpoint:162, time:1417376, size:135808 
checkpoint:163, time:1418035, size:135808 
checkpoint:164, time:2830977, size:270976 
checkpoint:165, time:1416973, size:135808 
checkpoint:166, time:2830915, size:270976 
checkpoint:167, time:4170909, size:398592 
checkpoint:168, time:4170832, size:398592 
checkpoint:169, time:4174727, size:398592 
checkpoint:170, time:4169286, size:398592 
checkpoint:171, time:2832848, size:270976 
checkpoint:172, time:4171874, size:398592 
checkpoint:173, time:2829207, size:270976 
checkpoint:174, time:4173531, size:398592 
checkpoint:175, time:1419180, size:135808 
checkpoint:176, time:4167280, size:398592 
checkpoint:177, time:2832000, size:270976 
checkpoint:178, time:4169957, size:398592 
checkpoint:179, time:1418112, size:135808 
checkpoint:180, time:4172771, size:398592 
checkpoint:181, time:1414700, size:135808 
checkpoint:182, time:1418126, size:135808 
checkpoint:183, time:1416402, size:135808 
checkpoint:184, time:1416787, size:135808 
checkpoint:185, time:4173260, size:398592 
checkpoint:186, time:1420178, size:135808 
checkpoint:187, time:2826768, size:270976 
checkpoint:188, time:5539698, size:526080 
checkpoint:189, time:2710280, size:259328 
checkpoint:190, time:4169928, size:398592 
checkpoint:191, time:1418735, size:135808 
checkpoint:192, time:2829296, size:270976 
