spawn telnet localhost 3456
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11B238 EBP=0x11B2A8
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:140, time:5047071, size:49616 
checkpoint:141, time:2540100, size:24896 
checkpoint:142, time:10045565, size:98952 
checkpoint:143, time:7534847, size:74320 
checkpoint:144, time:5034982, size:49560 
checkpoint:145, time:2540734, size:24896 
checkpoint:146, time:7538155, size:74320 
checkpoint:147, time:5036800, size:49536 
checkpoint:148, time:5054541, size:49616 
checkpoint:149, time:5050339, size:49616 
checkpoint:150, time:5044531, size:49616 
checkpoint:151, time:5034144, size:49616 
checkpoint:152, time:7537488, size:74320 
checkpoint:153, time:5043210, size:49616 
checkpoint:154, time:5050558, size:49616 
checkpoint:155, time:5045196, size:49616 
checkpoint:156, time:7538849, size:74320 
checkpoint:157, time:10045685, size:98952 
checkpoint:158, time:7537482, size:74320 
checkpoint:159, time:5040716, size:49616 
checkpoint:160, time:5045152, size:49616 
checkpoint:161, time:7540382, size:74320 
checkpoint:162, time:5038996, size:49616 
checkpoint:163, time:2545607, size:24896 
checkpoint:164, time:5042391, size:49616 
checkpoint:165, time:7538211, size:74320 
checkpoint:166, time:2546311, size:24896 
checkpoint:167, time:2547020, size:24896 
checkpoint:168, time:2542236, size:24896 
checkpoint:169, time:5055629, size:49616 
checkpoint:170, time:5042182, size:49616 
checkpoint:171, time:7479263, size:73568 
checkpoint:172, time:5042636, size:49616 
checkpoint:173, time:2539262, size:24896 
checkpoint:174, time:5031310, size:49536 
