spawn telnet localhost 3464
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11B258 EBP=0x11B2C8
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:1, log_time:2035369, time_merge:4989904, copy_size:0 
checkpoint:2, log_time:987099, time_merge:0, copy_size:0 
checkpoint:3, log_time:1017849, time_merge:3478302, copy_size:99456 
checkpoint:4, log_time:1000982, time_merge:0, copy_size:0 
checkpoint:5, log_time:997430, time_merge:0, copy_size:0 
checkpoint:6, log_time:1025879, time_merge:0, copy_size:0 
checkpoint:7, log_time:1027004, time_merge:0, copy_size:0 
checkpoint:8, log_time:1030487, time_merge:0, copy_size:0 
checkpoint:9, log_time:1030965, time_merge:0, copy_size:0 
checkpoint:10, log_time:1033973, time_merge:0, copy_size:0 
checkpoint:11, log_time:1033956, time_merge:0, copy_size:0 
checkpoint:12, log_time:1021677, time_merge:0, copy_size:0 
checkpoint:13, log_time:1029879, time_merge:0, copy_size:0 
checkpoint:14, log_time:1037502, time_merge:0, copy_size:0 
checkpoint:15, log_time:1045589, time_merge:0, copy_size:0 
checkpoint:16, log_time:1038920, time_merge:0, copy_size:0 
checkpoint:17, log_time:1044167, time_merge:0, copy_size:0 
checkpoint:18, log_time:1043706, time_merge:0, copy_size:0 
checkpoint:19, log_time:1040530, time_merge:0, copy_size:0 
checkpoint:20, log_time:1031421, time_merge:0, copy_size:0 
checkpoint:21, log_time:1039798, time_merge:0, copy_size:0 
checkpoint:22, log_time:1043981, time_merge:0, copy_size:0 
checkpoint:23, log_time:1475844, time_merge:23127077, copy_size:786176 
checkpoint:24, log_time:1033883, time_merge:0, copy_size:0 
checkpoint:25, log_time:1043135, time_merge:0, copy_size:0 
checkpoint:26, log_time:1043329, time_merge:0, copy_size:0 
checkpoint:27, log_time:1037658, time_merge:0, copy_size:0 
checkpoint:28, log_time:1031225, time_merge:0, copy_size:0 
checkpoint:29, log_time:1044447, time_merge:0, copy_size:0 
checkpoint:30, log_time:1041207, time_merge:0, copy_size:0 
checkpoint:31, log_time:1041880, time_merge:0, copy_size:0 
checkpoint:32, log_time:1043691, time_merge:0, copy_size:0 
checkpoint:33, log_time:1040595, time_merge:0, copy_size:0 
checkpoint:34, log_time:1050582, time_merge:0, copy_size:0 
checkpoint:35, log_time:1027748, time_merge:0, copy_size:0 
checkpoint:36, log_time:1030435, time_merge:0, copy_size:0 
checkpoint:37, log_time:1042225, time_merge:0, copy_size:0 
checkpoint:38, log_time:1044352, time_merge:0, copy_size:0 
checkpoint:39, log_time:1040502, time_merge:0, copy_size:0 
checkpoint:40, log_time:1039156, time_merge:0, copy_size:0 
checkpoint:41, log_time:1047649, time_merge:0, copy_size:0 
checkpoint:42, log_time:1041988, time_merge:0, copy_size:0 
checkpoint:43, log_time:1963441, time_merge:37210158, copy_size:1365184 
checkpoint:44, log_time:1041868, time_merge:0, copy_size:0 
checkpoint:45, log_time:1035120, time_merge:0, copy_size:0 
checkpoint:46, log_time:1045919, time_merge:0, copy_size:0 
checkpoint:47, log_time:1037392, time_merge:0, copy_size:0 
checkpoint:48, log_time:1042436, time_merge:0, copy_size:0 
checkpoint:49, log_time:1037662, time_merge:0, copy_size:0 
checkpoint:50, log_time:1037277, time_merge:0, copy_size:0 
checkpoint:51, log_time:1026459, time_merge:0, copy_size:0 
checkpoint:52, log_time:1011153, time_merge:0, copy_size:0 
checkpoint:53, log_time:1014570, time_merge:0, copy_size:0 
checkpoint:54, log_time:1012231, time_merge:0, copy_size:0 
checkpoint:55, log_time:1013355, time_merge:0, copy_size:0 
checkpoint:56, log_time:1012849, time_merge:0, copy_size:0 
checkpoint:57, log_time:1015328, time_merge:0, copy_size:0 
checkpoint:58, log_time:1024412, time_merge:0, copy_size:0 
checkpoint:59, log_time:1023453, time_merge:0, copy_size:0 
checkpoint:60, log_time:1025298, time_merge:0, copy_size:0 
checkpoint:61, log_time:1026825, time_merge:0, copy_size:0 
checkpoint:62, log_time:1022588, time_merge:0, copy_size:0 
checkpoint:63, log_time:2048929, time_merge:50307876, copy_size:1913536 
checkpoint:64, log_time:1025901, time_merge:0, copy_size:0 
checkpoint:65, log_time:1039052, time_merge:0, copy_size:0 
checkpoint:66, log_time:1024675, time_merge:0, copy_size:0 
checkpoint:67, log_time:1024828, time_merge:0, copy_size:0 
checkpoint:68, log_time:1025310, time_merge:0, copy_size:0 
checkpoint:69, log_time:1025191, time_merge:0, copy_size:0 
checkpoint:70, log_time:1021820, time_merge:0, copy_size:0 
checkpoint:71, log_time:1021475, time_merge:0, copy_size:0 
checkpoint:72, log_time:1018738, time_merge:0, copy_size:0 
checkpoint:73, log_time:1023832, time_merge:0, copy_size:0 
checkpoint:74, log_time:1019925, time_merge:0, copy_size:0 
checkpoint:75, log_time:1020069, time_merge:0, copy_size:0 
checkpoint:76, log_time:1017603, time_merge:0, copy_size:0 
checkpoint:77, log_time:1019991, time_merge:0, copy_size:0 
checkpoint:78, log_time:1019593, time_merge:0, copy_size:0 
checkpoint:79, log_time:1020898, time_merge:0, copy_size:0 
checkpoint:80, log_time:1019279, time_merge:0, copy_size:0 
checkpoint:81, log_time:1027565, time_merge:0, copy_size:0 
checkpoint:82, log_time:1016081, time_merge:0, copy_size:0 
checkpoint:83, log_time:1016682, time_merge:0, copy_size:0 
checkpoint:84, log_time:2085201, time_merge:58883029, copy_size:2266816 
checkpoint:85, log_time:1015870, time_merge:0, copy_size:0 
checkpoint:86, log_time:1015253, time_merge:0, copy_size:0 
checkpoint:87, log_time:1024219, time_merge:0, copy_size:0 
checkpoint:88, log_time:1026520, time_merge:0, copy_size:0 
checkpoint:89, log_time:1028718, time_merge:0, copy_size:0 
checkpoint:90, log_time:1030316, time_merge:0, copy_size:0 
checkpoint:91, log_time:1025778, time_merge:0, copy_size:0 
checkpoint:92, log_time:1027178, time_merge:0, copy_size:0 
checkpoint:93, log_time:1025505, time_merge:0, copy_size:0 
checkpoint:94, log_time:1024818, time_merge:0, copy_size:0 
checkpoint:95, log_time:1013961, time_merge:0, copy_size:0 
checkpoint:96, log_time:1012862, time_merge:0, copy_size:0 
checkpoint:97, log_time:1012857, time_merge:0, copy_size:0 
checkpoint:98, log_time:1015782, time_merge:0, copy_size:0 
checkpoint:99, log_time:1012724, time_merge:0, copy_size:0 
checkpoint:100, log_time:1013140, time_merge:0, copy_size:0 
checkpoint:101, log_time:1011124, time_merge:0, copy_size:0 
checkpoint:102, log_time:1014222, time_merge:0, copy_size:0 
checkpoint:103, log_time:1013108, time_merge:0, copy_size:0 
checkpoint:104, log_time:2064180, time_merge:66198777, copy_size:2576064 
checkpoint:105, log_time:1014214, time_merge:0, copy_size:0 
checkpoint:106, log_time:1023133, time_merge:0, copy_size:0 
checkpoint:107, log_time:1015664, time_merge:0, copy_size:0 
checkpoint:108, log_time:1019706, time_merge:0, copy_size:0 
checkpoint:109, log_time:1015421, time_merge:0, copy_size:0 
checkpoint:110, log_time:1019986, time_merge:0, copy_size:0 
checkpoint:111, log_time:1024208, time_merge:0, copy_size:0 
checkpoint:112, log_time:1022470, time_merge:0, copy_size:0 
checkpoint:113, log_time:1020892, time_merge:0, copy_size:0 
checkpoint:114, log_time:1019166, time_merge:0, copy_size:0 
checkpoint:115, log_time:1023591, time_merge:0, copy_size:0 
checkpoint:116, log_time:1020918, time_merge:0, copy_size:0 
checkpoint:117, log_time:1023922, time_merge:0, copy_size:0 
checkpoint:118, log_time:1020400, time_merge:0, copy_size:0 
checkpoint:119, log_time:1020159, time_merge:0, copy_size:0 
checkpoint:120, log_time:1024531, time_merge:0, copy_size:0 
checkpoint:121, log_time:1021427, time_merge:0, copy_size:0 
checkpoint:122, log_time:1023078, time_merge:0, copy_size:0 
checkpoint:123, log_time:1023513, time_merge:0, copy_size:0 
checkpoint:124, log_time:2087471, time_merge:62653804, copy_size:2423232 
checkpoint:125, log_time:1013203, time_merge:0, copy_size:0 
checkpoint:126, log_time:1012811, time_merge:0, copy_size:0 
checkpoint:127, log_time:1013718, time_merge:0, copy_size:0 
checkpoint:128, log_time:1010634, time_merge:0, copy_size:0 
checkpoint:129, log_time:1013202, time_merge:0, copy_size:0 
checkpoint:130, log_time:1012580, time_merge:0, copy_size:0 
checkpoint:131, log_time:1008937, time_merge:0, copy_size:0 
