spawn telnet localhost 3458
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11B258 EBP=0x11B2C8
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:1, log_time:77518, time_merge:269049, copy_size:0 
checkpoint:85, log_time:54831, time_merge:3763637, copy_size:266240 
checkpoint:86, log_time:54799, time_merge:4620993, copy_size:327680 
checkpoint:87, log_time:53866, time_merge:4627578, copy_size:324096 
checkpoint:88, log_time:54424, time_merge:1847270, copy_size:126976 
checkpoint:89, log_time:54804, time_merge:2779570, copy_size:196608 
checkpoint:90, log_time:54684, time_merge:2124909, copy_size:147456 
checkpoint:91, log_time:53006, time_merge:5802895, copy_size:409600 
checkpoint:92, log_time:54796, time_merge:4625029, copy_size:328192 
checkpoint:93, log_time:54882, time_merge:3302716, copy_size:233472 
checkpoint:94, log_time:54810, time_merge:3511905, copy_size:249856 
checkpoint:95, log_time:52985, time_merge:3664560, copy_size:258048 
checkpoint:96, log_time:54672, time_merge:2876216, copy_size:204800 
checkpoint:97, log_time:54711, time_merge:4519747, copy_size:320512 
checkpoint:98, log_time:54696, time_merge:3188152, copy_size:225280 
checkpoint:99, log_time:53995, time_merge:6125202, copy_size:430080 
checkpoint:100, log_time:54708, time_merge:3453968, copy_size:241664 
checkpoint:101, log_time:54801, time_merge:2811478, copy_size:197120 
checkpoint:102, log_time:54681, time_merge:2219361, copy_size:155648 
checkpoint:103, log_time:54427, time_merge:5768718, copy_size:409600 
checkpoint:104, log_time:54720, time_merge:3826427, copy_size:270336 
checkpoint:105, log_time:54756, time_merge:2954036, copy_size:208896 
checkpoint:106, log_time:52574, time_merge:4081540, copy_size:286720 
checkpoint:107, log_time:53239, time_merge:3944962, copy_size:279040 
checkpoint:108, log_time:54681, time_merge:4616820, copy_size:328704 
checkpoint:109, log_time:54768, time_merge:4318606, copy_size:307712 
checkpoint:110, log_time:52844, time_merge:4458558, copy_size:315392 
checkpoint:111, log_time:54645, time_merge:4150808, copy_size:294912 
checkpoint:112, log_time:54792, time_merge:3695544, copy_size:262144 
checkpoint:113, log_time:54720, time_merge:1030272, copy_size:69632 
checkpoint:114, log_time:52902, time_merge:6657857, copy_size:472064 
checkpoint:115, log_time:54582, time_merge:3121160, copy_size:221184 
