spawn telnet localhost 3459
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11B258 EBP=0x11B2C8
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:93, log_time:963048, time_merge:0, copy_size:0 
checkpoint:94, log_time:961718, time_merge:0, copy_size:0 
checkpoint:95, log_time:962718, time_merge:0, copy_size:0 
checkpoint:96, log_time:962883, time_merge:0, copy_size:0 
checkpoint:97, log_time:962391, time_merge:0, copy_size:0 
checkpoint:98, log_time:962517, time_merge:0, copy_size:0 
checkpoint:99, log_time:962715, time_merge:0, copy_size:0 
checkpoint:100, log_time:962025, time_merge:0, copy_size:0 
checkpoint:101, log_time:963318, time_merge:0, copy_size:0 
checkpoint:102, log_time:962829, time_merge:0, copy_size:0 
checkpoint:103, log_time:963030, time_merge:0, copy_size:0 
checkpoint:104, log_time:961546, time_merge:1770617, copy_size:15936 
checkpoint:105, log_time:961956, time_merge:0, copy_size:0 
checkpoint:106, log_time:961841, time_merge:0, copy_size:0 
checkpoint:107, log_time:962487, time_merge:0, copy_size:0 
checkpoint:108, log_time:963324, time_merge:0, copy_size:0 
checkpoint:109, log_time:962328, time_merge:0, copy_size:0 
checkpoint:110, log_time:961637, time_merge:0, copy_size:0 
checkpoint:111, log_time:963882, time_merge:0, copy_size:0 
checkpoint:112, log_time:962205, time_merge:0, copy_size:0 
checkpoint:113, log_time:962051, time_merge:0, copy_size:0 
checkpoint:114, log_time:962115, time_merge:0, copy_size:0 
checkpoint:115, log_time:962202, time_merge:0, copy_size:0 
checkpoint:116, log_time:962300, time_merge:0, copy_size:0 
checkpoint:117, log_time:962446, time_merge:0, copy_size:0 
checkpoint:118, log_time:961399, time_merge:0, copy_size:0 
checkpoint:119, log_time:963021, time_merge:0, copy_size:0 
checkpoint:120, log_time:962691, time_merge:0, copy_size:0 
checkpoint:121, log_time:962943, time_merge:0, copy_size:0 
checkpoint:122, log_time:961414, time_merge:0, copy_size:0 
checkpoint:123, log_time:963126, time_merge:0, copy_size:0 
checkpoint:124, log_time:942334, time_merge:1805542, copy_size:16256 
checkpoint:125, log_time:961303, time_merge:0, copy_size:0 
checkpoint:126, log_time:961994, time_merge:0, copy_size:0 
checkpoint:127, log_time:962024, time_merge:0, copy_size:0 
checkpoint:128, log_time:963163, time_merge:0, copy_size:0 
checkpoint:129, log_time:962964, time_merge:0, copy_size:0 
checkpoint:130, log_time:962583, time_merge:0, copy_size:0 
checkpoint:131, log_time:962857, time_merge:0, copy_size:0 
checkpoint:132, log_time:961814, time_merge:0, copy_size:0 
checkpoint:133, log_time:962363, time_merge:0, copy_size:0 
checkpoint:134, log_time:962679, time_merge:0, copy_size:0 
checkpoint:135, log_time:962548, time_merge:0, copy_size:0 
checkpoint:136, log_time:963092, time_merge:0, copy_size:0 
checkpoint:137, log_time:962676, time_merge:0, copy_size:0 
checkpoint:138, log_time:961874, time_merge:0, copy_size:0 
checkpoint:139, log_time:962192, time_merge:0, copy_size:0 
checkpoint:140, log_time:961734, time_merge:0, copy_size:0 
checkpoint:141, log_time:963021, time_merge:0, copy_size:0 
checkpoint:142, log_time:962318, time_merge:0, copy_size:0 
checkpoint:143, log_time:963296, time_merge:0, copy_size:0 
checkpoint:144, log_time:923035, time_merge:1807089, copy_size:16320 
checkpoint:145, log_time:961450, time_merge:0, copy_size:0 
checkpoint:146, log_time:961829, time_merge:0, copy_size:0 
checkpoint:147, log_time:961291, time_merge:0, copy_size:0 
checkpoint:148, log_time:962808, time_merge:0, copy_size:0 
checkpoint:149, log_time:962730, time_merge:0, copy_size:0 
checkpoint:150, log_time:964055, time_merge:0, copy_size:0 
checkpoint:151, log_time:962548, time_merge:0, copy_size:0 
checkpoint:152, log_time:962952, time_merge:0, copy_size:0 
checkpoint:153, log_time:962331, time_merge:0, copy_size:0 
checkpoint:154, log_time:962021, time_merge:0, copy_size:0 
checkpoint:155, log_time:962086, time_merge:0, copy_size:0 
checkpoint:156, log_time:961401, time_merge:0, copy_size:0 
checkpoint:157, log_time:962344, time_merge:0, copy_size:0 
checkpoint:158, log_time:962733, time_merge:0, copy_size:0 
checkpoint:159, log_time:962789, time_merge:0, copy_size:0 
checkpoint:160, log_time:961490, time_merge:0, copy_size:0 
checkpoint:161, log_time:961806, time_merge:0, copy_size:0 
checkpoint:162, log_time:962448, time_merge:0, copy_size:0 
checkpoint:163, log_time:961831, time_merge:0, copy_size:0 
checkpoint:164, log_time:963453, time_merge:0, copy_size:0 
checkpoint:165, log_time:962116, time_merge:1733918, copy_size:15168 
checkpoint:166, log_time:962814, time_merge:0, copy_size:0 
checkpoint:167, log_time:962199, time_merge:0, copy_size:0 
checkpoint:168, log_time:961590, time_merge:0, copy_size:0 
checkpoint:169, log_time:961796, time_merge:0, copy_size:0 
checkpoint:170, log_time:964312, time_merge:0, copy_size:0 
checkpoint:171, log_time:961646, time_merge:0, copy_size:0 
checkpoint:172, log_time:963294, time_merge:0, copy_size:0 
checkpoint:173, log_time:962371, time_merge:0, copy_size:0 
checkpoint:174, log_time:963210, time_merge:0, copy_size:0 
checkpoint:175, log_time:963332, time_merge:0, copy_size:0 
checkpoint:176, log_time:963796, time_merge:0, copy_size:0 
checkpoint:177, log_time:962923, time_merge:0, copy_size:0 
checkpoint:178, log_time:962270, time_merge:0, copy_size:0 
checkpoint:179, log_time:962610, time_merge:0, copy_size:0 
checkpoint:180, log_time:961652, time_merge:0, copy_size:0 
checkpoint:181, log_time:961742, time_merge:0, copy_size:0 
checkpoint:182, log_time:962192, time_merge:0, copy_size:0 
checkpoint:183, log_time:962198, time_merge:0, copy_size:0 
checkpoint:184, log_time:962110, time_merge:0, copy_size:0 
checkpoint:185, log_time:963027, time_merge:1762320, copy_size:16384 
checkpoint:186, log_time:961934, time_merge:0, copy_size:0 
checkpoint:187, log_time:961991, time_merge:0, copy_size:0 
checkpoint:188, log_time:962519, time_merge:0, copy_size:0 
checkpoint:189, log_time:962591, time_merge:0, copy_size:0 
checkpoint:190, log_time:961436, time_merge:0, copy_size:0 
checkpoint:191, log_time:961736, time_merge:0, copy_size:0 
checkpoint:192, log_time:961873, time_merge:0, copy_size:0 
checkpoint:193, log_time:962580, time_merge:0, copy_size:0 
checkpoint:194, log_time:962963, time_merge:0, copy_size:0 
checkpoint:195, log_time:963874, time_merge:0, copy_size:0 
checkpoint:196, log_time:962250, time_merge:0, copy_size:0 
checkpoint:197, log_time:963504, time_merge:0, copy_size:0 
checkpoint:198, log_time:961616, time_merge:0, copy_size:0 
checkpoint:199, log_time:961797, time_merge:0, copy_size:0 
checkpoint:200, log_time:961868, time_merge:0, copy_size:0 
checkpoint:201, log_time:962301, time_merge:0, copy_size:0 
