spawn telnet localhost 3467
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11B218 EBP=0x11B288
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:116,time:931059622,copy_size:3757616 
checkpoint:117,time:929678264,copy_size:3755950 
checkpoint:118,time:947765673,copy_size:3841842 
checkpoint:119,time:971616703,copy_size:3923968 
checkpoint:120,time:941883142,copy_size:3818306 
checkpoint:121,time:951751648,copy_size:3861194 
checkpoint:122,time:954502259,copy_size:3861238 
checkpoint:123,time:963447456,copy_size:3890044 
checkpoint:124,time:936440520,copy_size:3786146 
checkpoint:125,time:934115255,copy_size:3778872 
checkpoint:126,time:928587385,copy_size:3753406 
checkpoint:127,time:943512820,copy_size:3804328 
checkpoint:128,time:942746330,copy_size:3809980 
checkpoint:129,time:935560363,copy_size:3784570 
checkpoint:130,time:957098114,copy_size:3868602 
checkpoint:131,time:934345550,copy_size:3778528 
checkpoint:132,time:938823760,copy_size:3809564 
checkpoint:133,time:943312340,copy_size:3808490 
checkpoint:134,time:947852787,copy_size:3837708 
checkpoint:135,time:949756390,copy_size:3837360 
checkpoint:136,time:946909607,copy_size:3826338 
checkpoint:137,time:941641039,copy_size:3799400 
checkpoint:138,time:944508054,copy_size:3816068 
checkpoint:139,time:948813087,copy_size:3840190 
checkpoint:140,time:953837757,copy_size:3858532 
checkpoint:141,time:935932391,copy_size:3786030 
checkpoint:142,time:858903493,copy_size:3475460 
checkpoint:143,time:942738571,copy_size:3818186 
checkpoint:144,time:943653015,copy_size:3810198 
checkpoint:145,time:942613817,copy_size:3799870 
checkpoint:146,time:939726886,copy_size:3789046 
checkpoint:147,time:957087711,copy_size:3869446 
checkpoint:148,time:940090565,copy_size:3800564 
checkpoint:149,time:931659013,copy_size:3746418 
checkpoint:150,time:960023808,copy_size:3885616 
checkpoint:151,time:947369252,copy_size:3831248 
checkpoint:152,time:950228409,copy_size:3844642 
checkpoint:153,time:923269808,copy_size:3726456 
checkpoint:154,time:962425393,copy_size:3889576 
checkpoint:155,time:946892252,copy_size:3824930 
checkpoint:156,time:956448168,copy_size:3860276 
checkpoint:157,time:919963597,copy_size:3705868 
checkpoint:158,time:953923297,copy_size:3855556 
checkpoint:159,time:943986309,copy_size:3807906 
checkpoint:160,time:941088691,copy_size:3812104 
checkpoint:161,time:948500958,copy_size:3843056 
checkpoint:162,time:941740130,copy_size:3805958 
checkpoint:163,time:930942274,copy_size:3774444 
checkpoint:164,time:933310700,copy_size:3780300 
checkpoint:165,time:941018409,copy_size:3803638 
checkpoint:166,time:936617703,copy_size:3782948 
checkpoint:167,time:955823127,copy_size:3870514 
checkpoint:168,time:935957111,copy_size:3778914 
checkpoint:169,time:963000471,copy_size:3890522 
checkpoint:170,time:963817373,copy_size:3888054 
checkpoint:171,time:971215802,copy_size:3930966 
checkpoint:172,time:958825103,copy_size:3879872 
checkpoint:173,time:949635655,copy_size:3833642 
checkpoint:174,time:930859172,copy_size:3776534 
checkpoint:175,time:943376117,copy_size:3811312 
checkpoint:176,time:940668633,copy_size:3811124 
checkpoint:177,time:932089163,copy_size:3765996 
checkpoint:178,time:947203325,copy_size:3824138 
checkpoint:179,time:932815057,copy_size:3767442 
checkpoint:180,time:967454880,copy_size:3906688 
checkpoint:181,time:942574658,copy_size:3811488 
checkpoint:182,time:948599979,copy_size:3838382 
checkpoint:183,time:948891772,copy_size:3843394 
checkpoint:184,time:955553667,copy_size:3864088 
checkpoint:185,time:951764502,copy_size:3849798 
checkpoint:186,time:937612895,copy_size:3787896 
checkpoint:187,time:932891351,copy_size:3760738 
checkpoint:188,time:935225493,copy_size:3772190 
checkpoint:189,time:935899853,copy_size:3778074 
checkpoint:190,time:946501018,copy_size:3833738 
checkpoint:191,time:960292511,copy_size:3867136 
checkpoint:192,time:923732325,copy_size:3728628 
checkpoint:193,time:934828009,copy_size:3781642 
checkpoint:194,time:948072688,copy_size:3838924 
checkpoint:195,time:962167286,copy_size:3883502 
checkpoint:196,time:942163637,copy_size:3807500 
checkpoint:197,time:967120547,copy_size:3908092 
checkpoint:198,time:942049544,copy_size:3803248 
checkpoint:199,time:935329234,copy_size:3772720 
checkpoint:200,time:937009850,copy_size:3779358 
checkpoint:201,time:946100784,copy_size:3823686 
checkpoint:202,time:969745241,copy_size:3916774 
checkpoint:203,time:951385892,copy_size:3859388 
checkpoint:204,time:949730361,copy_size:3833134 
checkpoint:205,time:953410685,copy_size:3866316 
checkpoint:206,time:958343886,copy_size:3888554 
checkpoint:207,time:933489175,copy_size:3773312 
checkpoint:208,time:955708318,copy_size:3857786 
checkpoint:209,time:969621875,copy_size:3922758 
checkpoint:210,time:966354826,copy_size:3907910 
checkpoint:211,time:926707249,copy_size:3741008 
checkpoint:212,time:964841187,copy_size:3891766 
checkpoint:213,time:919831150,copy_size:3725188 
checkpoint:214,time:975372240,copy_size:3944798 
checkpoint:215,time:949594910,copy_size:3830452 
checkpoint:216,time:808349384,copy_size:3276234 
checkpoint:217,time:933720986,copy_size:3783800 
checkpoint:218,time:942776033,copy_size:3811882 
checkpoint:219,time:953308595,copy_size:3856794 
checkpoint:220,time:931510489,copy_size:3763818 
checkpoint:221,time:963478526,copy_size:3886544 
checkpoint:222,time:933059817,copy_size:3771274 
checkpoint:223,time:934191208,copy_size:3772506 
checkpoint:224,time:936816466,copy_size:3792314 
checkpoint:225,time:926603922,copy_size:3751304 
