spawn telnet localhost 3468
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11B218 EBP=0x11B288
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:112,time:1883669275,copy_size:5158284 
checkpoint:113,time:1987957104,copy_size:5444248 
checkpoint:114,time:1943849468,copy_size:5323298 
checkpoint:115,time:2039445738,copy_size:5585438 
checkpoint:116,time:1972537246,copy_size:5402078 
checkpoint:117,time:1891746786,copy_size:5180548 
checkpoint:118,time:2018627578,copy_size:5528314 
checkpoint:119,time:2058965849,copy_size:5638750 
checkpoint:120,time:1871731263,copy_size:5125708 
checkpoint:121,time:2044808537,copy_size:5600074 
checkpoint:122,time:1926460575,copy_size:5275624 
checkpoint:123,time:1914825864,copy_size:5243670 
checkpoint:124,time:1950083014,copy_size:5340464 
checkpoint:125,time:1809287270,copy_size:4954474 
checkpoint:126,time:2053200936,copy_size:5623226 
checkpoint:127,time:2095064155,copy_size:5737698 
checkpoint:128,time:1917058017,copy_size:5249840 
checkpoint:129,time:1977950122,copy_size:5416886 
checkpoint:130,time:2080105093,copy_size:5696720 
checkpoint:131,time:1769481405,copy_size:4845390 
checkpoint:132,time:1885238347,copy_size:5162714 
checkpoint:133,time:1928357456,copy_size:5280794 
checkpoint:134,time:1892067563,copy_size:5181400 
checkpoint:135,time:1953707401,copy_size:5350384 
checkpoint:136,time:1881641440,copy_size:5152882 
checkpoint:137,time:1919047356,copy_size:5255292 
checkpoint:138,time:1906245023,copy_size:5220160 
checkpoint:139,time:1949886633,copy_size:5339896 
checkpoint:140,time:2017553467,copy_size:5525526 
checkpoint:141,time:2031231008,copy_size:5562794 
checkpoint:142,time:1912796738,copy_size:5238268 
checkpoint:143,time:1905003311,copy_size:5216776 
checkpoint:144,time:1946304194,copy_size:5330048 
checkpoint:145,time:1939460174,copy_size:5311320 
checkpoint:146,time:2013826125,copy_size:5515058 
checkpoint:147,time:1924673020,copy_size:5270770 
checkpoint:148,time:2047898345,copy_size:5608468 
checkpoint:149,time:1963374449,copy_size:5376950 
checkpoint:150,time:1934977495,copy_size:5298870 
checkpoint:151,time:1941776128,copy_size:5317664 
checkpoint:152,time:1974104444,copy_size:5406254 
checkpoint:153,time:1938319164,copy_size:5308064 
checkpoint:154,time:1934944650,copy_size:5298970 
checkpoint:155,time:2174989422,copy_size:5956748 
checkpoint:156,time:1961864467,copy_size:5372824 
checkpoint:157,time:2021723020,copy_size:5536734 
checkpoint:158,time:1920264297,copy_size:5258740 
checkpoint:159,time:2039727723,copy_size:5586202 
checkpoint:160,time:2011907269,copy_size:5509856 
checkpoint:161,time:1944791200,copy_size:5325988 
checkpoint:162,time:1927699531,copy_size:5279000 
checkpoint:163,time:1973504858,copy_size:5404410 
checkpoint:164,time:2006851065,copy_size:5496068 
checkpoint:165,time:1942171636,copy_size:5318754 
checkpoint:166,time:1892700495,copy_size:5183072 
checkpoint:167,time:1876131717,copy_size:5137800 
