spawn telnet localhost 3475
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11B238 EBP=0x11B2A8
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:140, time:1118020, size:102336 
checkpoint:141, time:1075641, size:98240 
checkpoint:142, time:1075654, size:98240 
checkpoint:143, time:1117594, size:102336 
checkpoint:144, time:3618905, size:331712 
checkpoint:145, time:939800, size:85952 
checkpoint:146, time:3796190, size:348096 
checkpoint:147, time:2187194, size:200640 
checkpoint:148, time:2726605, size:249792 
checkpoint:149, time:1919779, size:176064 
checkpoint:150, time:2191174, size:200640 
checkpoint:151, time:938720, size:85952 
checkpoint:152, time:1833784, size:167872 
checkpoint:153, time:1120030, size:102336 
checkpoint:154, time:2994620, size:274368 
checkpoint:155, time:1120026, size:102336 
checkpoint:156, time:2994857, size:274368 
checkpoint:157, time:1117574, size:102336 
checkpoint:158, time:2724906, size:249792 
checkpoint:159, time:1120024, size:102336 
checkpoint:160, time:2190308, size:200640 
checkpoint:161, time:1030801, size:94144 
checkpoint:162, time:3262590, size:298944 
checkpoint:163, time:986391, size:90048 
checkpoint:164, time:3258323, size:298944 
checkpoint:165, time:1031042, size:94144 
checkpoint:166, time:1118750, size:102336 
checkpoint:167, time:1922168, size:176064 
checkpoint:168, time:941338, size:85952 
checkpoint:169, time:1922500, size:176064 
checkpoint:170, time:2101696, size:192448 
checkpoint:171, time:2191172, size:200640 
checkpoint:172, time:2011991, size:184256 
checkpoint:173, time:1030795, size:94144 
checkpoint:174, time:1031032, size:94144 
checkpoint:175, time:1922605, size:176064 
checkpoint:176, time:1833957, size:167872 
checkpoint:177, time:3128770, size:286656 
checkpoint:178, time:3262587, size:298944 
checkpoint:179, time:1833780, size:167872 
checkpoint:180, time:1030802, size:94144 
checkpoint:181, time:985963, size:90048 
checkpoint:182, time:984819, size:90048 
checkpoint:183, time:986164, size:90048 
checkpoint:184, time:2101696, size:192448 
checkpoint:185, time:2012677, size:184256 
checkpoint:186, time:1075647, size:98240 
checkpoint:187, time:986176, size:90048 
checkpoint:188, time:3262601, size:298944 
checkpoint:189, time:941765, size:85952 
checkpoint:190, time:2723686, size:249792 
checkpoint:191, time:1075641, size:98240 
checkpoint:192, time:2191164, size:200640 
checkpoint:193, time:1920233, size:176064 
checkpoint:194, time:1030596, size:94144 
checkpoint:195, time:1070678, size:98240 
checkpoint:196, time:1028516, size:94144 
checkpoint:197, time:1027447, size:94144 
checkpoint:198, time:3127905, size:286656 
checkpoint:199, time:2994652, size:274368 
checkpoint:200, time:1075641, size:98240 
checkpoint:201, time:986383, size:90048 
checkpoint:202, time:941774, size:85952 
checkpoint:203, time:2191178, size:200640 
checkpoint:204, time:986393, size:90048 
checkpoint:205, time:1031049, size:94144 
checkpoint:206, time:2724082, size:249792 
checkpoint:207, time:1072052, size:98240 
checkpoint:208, time:2012692, size:184256 
checkpoint:209, time:3976438, size:364480 
checkpoint:210, time:982776, size:90048 
checkpoint:211, time:3616196, size:331712 
checkpoint:212, time:1120049, size:102336 
checkpoint:213, time:2993407, size:274368 
checkpoint:214, time:941773, size:85952 
checkpoint:215, time:1030813, size:94144 
checkpoint:216, time:1120025, size:102336 
checkpoint:217, time:2994276, size:274368 
checkpoint:218, time:1833955, size:167872 
checkpoint:219, time:1923034, size:176064 
checkpoint:220, time:1073706, size:98240 
checkpoint:221, time:1117482, size:102336 
checkpoint:222, time:1923442, size:176064 
checkpoint:223, time:1921759, size:176064 
checkpoint:224, time:1923431, size:176064 
checkpoint:225, time:2190734, size:200640 
checkpoint:226, time:2191186, size:200640 
checkpoint:227, time:1923089, size:176064 
checkpoint:228, time:986394, size:90048 
checkpoint:229, time:986404, size:90048 
checkpoint:230, time:985955, size:90048 
checkpoint:231, time:1921832, size:176064 
checkpoint:232, time:1120051, size:102336 
checkpoint:233, time:2012695, size:184256 
checkpoint:234, time:2101930, size:192448 
checkpoint:235, time:2191171, size:200640 
checkpoint:236, time:2190678, size:200640 
checkpoint:237, time:3619690, size:331712 
checkpoint:238, time:2191189, size:200640 
checkpoint:239, time:2994262, size:274368 
checkpoint:240, time:1075403, size:98240 
checkpoint:241, time:1921586, size:176064 
checkpoint:242, time:4294973, size:393664 
checkpoint:243, time:3616575, size:331712 
checkpoint:244, time:1073506, size:98240 
checkpoint:245, time:2099493, size:192448 
checkpoint:246, time:1030703, size:94144 
checkpoint:247, time:1075200, size:98240 
checkpoint:248, time:3619025, size:331712 
checkpoint:249, time:1118495, size:102336 
