spawn telnet localhost 3461
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11B258 EBP=0x11B2C8
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:81, log_time:1292831, time_merge:42062867, copy_size:2625216 
checkpoint:82, log_time:1335484, time_merge:43191506, copy_size:2665920 
checkpoint:83, log_time:1334847, time_merge:42568026, copy_size:2638016 
checkpoint:84, log_time:1350330, time_merge:41819749, copy_size:2581120 
checkpoint:85, log_time:1360210, time_merge:34809197, copy_size:2147136 
checkpoint:86, log_time:1358032, time_merge:43833815, copy_size:2708224 
checkpoint:87, log_time:1369512, time_merge:42978885, copy_size:2673088 
checkpoint:88, log_time:1371341, time_merge:44066764, copy_size:2732352 
checkpoint:89, log_time:1370417, time_merge:42783723, copy_size:2658880 
checkpoint:90, log_time:1375872, time_merge:43983464, copy_size:2719488 
checkpoint:91, log_time:1378608, time_merge:43293211, copy_size:2693952 
checkpoint:92, log_time:1383970, time_merge:35498447, copy_size:2163392 
checkpoint:93, log_time:1397589, time_merge:46272774, copy_size:2845760 
checkpoint:94, log_time:1383458, time_merge:45309174, copy_size:2800128 
checkpoint:95, log_time:1380106, time_merge:44603120, copy_size:2752704 
checkpoint:96, log_time:1385350, time_merge:46218350, copy_size:2832896 
checkpoint:97, log_time:1395846, time_merge:45171103, copy_size:2769792 
checkpoint:98, log_time:1391665, time_merge:47524134, copy_size:2961408 
checkpoint:99, log_time:1401643, time_merge:36402426, copy_size:2282560 
checkpoint:100, log_time:1396440, time_merge:47292403, copy_size:2893440 
checkpoint:101, log_time:1349274, time_merge:46040233, copy_size:2826432 
checkpoint:102, log_time:1362040, time_merge:45880157, copy_size:2853952 
checkpoint:103, log_time:1359250, time_merge:45422624, copy_size:2829184 
checkpoint:104, log_time:1366385, time_merge:46708409, copy_size:2876928 
checkpoint:105, log_time:1366187, time_merge:47302081, copy_size:2892736 
checkpoint:106, log_time:1369100, time_merge:37895575, copy_size:2406912 
checkpoint:107, log_time:1392775, time_merge:46838776, copy_size:2877504 
checkpoint:108, log_time:1383108, time_merge:47894362, copy_size:2976640 
checkpoint:109, log_time:1377809, time_merge:46898563, copy_size:2911360 
checkpoint:110, log_time:1376872, time_merge:47269261, copy_size:2901440 
checkpoint:111, log_time:1391394, time_merge:48867836, copy_size:2952832 
checkpoint:112, log_time:1396979, time_merge:47613033, copy_size:2945216 
checkpoint:113, log_time:1378010, time_merge:38179906, copy_size:2367488 
checkpoint:114, log_time:1421354, time_merge:50565897, copy_size:3141888 
checkpoint:115, log_time:1401271, time_merge:48034601, copy_size:2999936 
checkpoint:116, log_time:1384067, time_merge:50285601, copy_size:3045056 
checkpoint:117, log_time:1403673, time_merge:47977277, copy_size:2983552 
checkpoint:118, log_time:1412139, time_merge:48944322, copy_size:2998336 
checkpoint:119, log_time:1439331, time_merge:39496384, copy_size:2421760 
checkpoint:120, log_time:1437979, time_merge:52064503, copy_size:3122048 
checkpoint:121, log_time:1428359, time_merge:50155727, copy_size:3077824 
checkpoint:122, log_time:1417130, time_merge:48039865, copy_size:3013312 
checkpoint:123, log_time:1450463, time_merge:51279650, copy_size:3059584 
checkpoint:124, log_time:1454190, time_merge:50945418, copy_size:3048768 
checkpoint:125, log_time:1443289, time_merge:52015594, copy_size:3164800 
checkpoint:126, log_time:1443329, time_merge:39851537, copy_size:2421376 
checkpoint:127, log_time:1467836, time_merge:52675359, copy_size:3147136 
checkpoint:128, log_time:1473872, time_merge:52812198, copy_size:3140224 
checkpoint:129, log_time:1461754, time_merge:50785976, copy_size:3167808 
checkpoint:130, log_time:1469998, time_merge:51113062, copy_size:3133952 
checkpoint:131, log_time:1465070, time_merge:51963432, copy_size:3133440 
checkpoint:132, log_time:1452307, time_merge:52626987, copy_size:3150464 
checkpoint:133, log_time:1475944, time_merge:42936530, copy_size:2559744 
checkpoint:134, log_time:1449833, time_merge:52753868, copy_size:3172864 
checkpoint:135, log_time:1464457, time_merge:52525566, copy_size:3153728 
checkpoint:136, log_time:1441262, time_merge:51116786, copy_size:3151552 
checkpoint:137, log_time:1443929, time_merge:52527255, copy_size:3179328 
checkpoint:138, log_time:1446736, time_merge:52603250, copy_size:3190144 
checkpoint:139, log_time:1424183, time_merge:54460702, copy_size:3235712 
checkpoint:140, log_time:1434091, time_merge:41230870, copy_size:2523968 
checkpoint:141, log_time:1454661, time_merge:53074528, copy_size:3220224 
checkpoint:142, log_time:1468459, time_merge:55427325, copy_size:3262016 
checkpoint:143, log_time:1470851, time_merge:54335225, copy_size:3295808 
checkpoint:144, log_time:1448031, time_merge:52441664, copy_size:3189760 
checkpoint:145, log_time:1442097, time_merge:53876885, copy_size:3237440 
checkpoint:146, log_time:1453346, time_merge:55696765, copy_size:3262336 
checkpoint:147, log_time:1477632, time_merge:43236922, copy_size:2600448 
checkpoint:148, log_time:1468208, time_merge:55231947, copy_size:3285184 
checkpoint:149, log_time:1466169, time_merge:52913366, copy_size:3265664 
checkpoint:150, log_time:1462698, time_merge:54635056, copy_size:3280704 
checkpoint:151, log_time:1464604, time_merge:54651379, copy_size:3293440 
checkpoint:152, log_time:1452350, time_merge:54691709, copy_size:3321984 
checkpoint:153, log_time:1486629, time_merge:46485960, copy_size:2694912 
checkpoint:154, log_time:1502786, time_merge:60497089, copy_size:3456320 
checkpoint:155, log_time:1475430, time_merge:53340479, copy_size:3312576 
checkpoint:156, log_time:1479386, time_merge:56098467, copy_size:3368832 
checkpoint:157, log_time:1476486, time_merge:54155625, copy_size:3324096 
checkpoint:158, log_time:1483787, time_merge:54933158, copy_size:3366144 
checkpoint:159, log_time:1472259, time_merge:53994052, copy_size:3339520 
checkpoint:160, log_time:1517042, time_merge:47380648, copy_size:2694016 
checkpoint:161, log_time:1498324, time_merge:56471751, copy_size:3353920 
checkpoint:162, log_time:1528566, time_merge:59395310, copy_size:3447040 
checkpoint:163, log_time:1486076, time_merge:57514353, copy_size:3381184 
checkpoint:164, log_time:1489625, time_merge:61348458, copy_size:3429312 
checkpoint:165, log_time:1489410, time_merge:58566322, copy_size:3358272 
checkpoint:166, log_time:1478665, time_merge:59509516, copy_size:3400192 
checkpoint:167, log_time:1525007, time_merge:45082868, copy_size:2735616 
checkpoint:168, log_time:1497334, time_merge:55403253, copy_size:3392128 
checkpoint:169, log_time:1506708, time_merge:60842854, copy_size:3484736 
checkpoint:170, log_time:1491496, time_merge:59648749, copy_size:3495040 
checkpoint:171, log_time:1469830, time_merge:56525329, copy_size:3370432 
checkpoint:172, log_time:1485575, time_merge:56820963, copy_size:3443456 
checkpoint:173, log_time:1470063, time_merge:58935488, copy_size:3462848 
checkpoint:174, log_time:1352595, time_merge:42225694, copy_size:2751488 
checkpoint:175, log_time:1505653, time_merge:62343297, copy_size:3563584 
checkpoint:176, log_time:1509842, time_merge:63676927, copy_size:3497152 
checkpoint:177, log_time:1502629, time_merge:60753708, copy_size:3498752 
checkpoint:178, log_time:1490839, time_merge:61818477, copy_size:3502464 
checkpoint:179, log_time:1486917, time_merge:61680465, copy_size:3514432 
checkpoint:180, log_time:1471042, time_merge:60004215, copy_size:3481856 
checkpoint:181, log_time:1523709, time_merge:46887043, copy_size:2765824 
checkpoint:182, log_time:1533202, time_merge:61773801, copy_size:3507328 
checkpoint:183, log_time:1518980, time_merge:61861900, copy_size:3514368 
checkpoint:184, log_time:1507808, time_merge:59581870, copy_size:3499392 
checkpoint:185, log_time:1498433, time_merge:60357227, copy_size:3512896 
checkpoint:186, log_time:1505575, time_merge:60684560, copy_size:3501760 
checkpoint:187, log_time:1537580, time_merge:44931470, copy_size:2791104 
checkpoint:188, log_time:1531503, time_merge:62676637, copy_size:3552128 
checkpoint:189, log_time:1517292, time_merge:58761394, copy_size:3516032 
checkpoint:190, log_time:1502136, time_merge:59338211, copy_size:3507200 
checkpoint:191, log_time:1531847, time_merge:63167635, copy_size:3585536 
checkpoint:192, log_time:1483160, time_merge:62485466, copy_size:3594880 
checkpoint:193, log_time:1494703, time_merge:65229389, copy_size:3633856 
checkpoint:194, log_time:1519643, time_merge:47116885, copy_size:2801088 
checkpoint:195, log_time:1526157, time_merge:58883652, copy_size:3541568 
checkpoint:196, log_time:1533565, time_merge:63004164, copy_size:3624512 
checkpoint:197, log_time:1496109, time_merge:62503771, copy_size:3531712 
checkpoint:198, log_time:1506154, time_merge:66416700, copy_size:3604352 
checkpoint:199, log_time:1532789, time_merge:64301786, copy_size:3645056 
checkpoint:200, log_time:1521493, time_merge:63765821, copy_size:3637632 
checkpoint:201, log_time:1537868, time_merge:52805599, copy_size:2952704 
checkpoint:202, log_time:1556039, time_merge:62027577, copy_size:3596736 
checkpoint:203, log_time:1545043, time_merge:65355119, copy_size:3617600 
checkpoint:204, log_time:1518028, time_merge:63453140, copy_size:3578560 
checkpoint:205, log_time:1481989, time_merge:62865442, copy_size:3596992 
checkpoint:206, log_time:1493427, time_merge:66711651, copy_size:3697536 
checkpoint:207, log_time:1480662, time_merge:62626681, copy_size:3609280 
checkpoint:208, log_time:1559091, time_merge:49485374, copy_size:2887232 
checkpoint:209, log_time:1531172, time_merge:63648311, copy_size:3639872 
checkpoint:210, log_time:1520998, time_merge:60533635, copy_size:3607872 
checkpoint:211, log_time:1495808, time_merge:60049924, copy_size:3596480 
checkpoint:212, log_time:1489992, time_merge:60364575, copy_size:3606592 
checkpoint:213, log_time:1494042, time_merge:63943744, copy_size:3686912 
checkpoint:214, log_time:1484877, time_merge:64307205, copy_size:3672384 
checkpoint:215, log_time:1531073, time_merge:49911376, copy_size:2877696 
checkpoint:216, log_time:1489949, time_merge:57384267, copy_size:3592448 
checkpoint:217, log_time:1502610, time_merge:62443474, copy_size:3627520 
checkpoint:218, log_time:1532776, time_merge:69818533, copy_size:3729216 
checkpoint:219, log_time:1505295, time_merge:58944972, copy_size:3637952 
checkpoint:220, log_time:1505842, time_merge:66047683, copy_size:3678464 
checkpoint:221, log_time:1576521, time_merge:51984893, copy_size:2902272 
checkpoint:222, log_time:1557881, time_merge:65247170, copy_size:3686912 
checkpoint:223, log_time:1530977, time_merge:60135180, copy_size:3614016 
checkpoint:224, log_time:1536295, time_merge:62373466, copy_size:3640256 
checkpoint:225, log_time:1516204, time_merge:64815262, copy_size:3663232 
checkpoint:226, log_time:1526009, time_merge:66010914, copy_size:3678336 
checkpoint:227, log_time:1521932, time_merge:62725755, copy_size:3643392 
checkpoint:228, log_time:1569963, time_merge:57646340, copy_size:2983744 
checkpoint:229, log_time:1536367, time_merge:60502674, copy_size:3644224 
checkpoint:230, log_time:1501281, time_merge:62374274, copy_size:3649024 
checkpoint:231, log_time:1527847, time_merge:67616069, copy_size:3699264 
checkpoint:232, log_time:1512995, time_merge:63945388, copy_size:3683200 
checkpoint:233, log_time:1548406, time_merge:68867851, copy_size:3720384 
checkpoint:234, log_time:1504013, time_merge:68986211, copy_size:3751424 
checkpoint:235, log_time:1589006, time_merge:53828445, copy_size:2961728 
checkpoint:236, log_time:1570860, time_merge:67613057, copy_size:3760192 
checkpoint:237, log_time:1499031, time_merge:58605097, copy_size:3657344 
checkpoint:238, log_time:1535698, time_merge:62159182, copy_size:3670208 
checkpoint:239, log_time:1500391, time_merge:65673352, copy_size:3691136 
checkpoint:240, log_time:1494493, time_merge:57882893, copy_size:3642368 
checkpoint:241, log_time:1499868, time_merge:62487505, copy_size:3691584 
checkpoint:242, log_time:1595022, time_merge:51294200, copy_size:2955648 
checkpoint:243, log_time:1516487, time_merge:60065127, copy_size:3709312 
checkpoint:244, log_time:1537898, time_merge:66981420, copy_size:3722304 
checkpoint:245, log_time:1501749, time_merge:62888909, copy_size:3681344 
checkpoint:246, log_time:1507133, time_merge:68221555, copy_size:3740160 
