spawn telnet localhost 3460
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11A238 EBP=0x11A2A8
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:155, time:16128, size:400 
checkpoint:156, time:20168, size:520 
checkpoint:157, time:9259, size:128 
checkpoint:158, time:15812, size:424 
checkpoint:159, time:17879, size:440 
checkpoint:160, time:4533, size:0 
checkpoint:161, time:13411, size:352 
checkpoint:162, time:16904, size:424 
checkpoint:163, time:18681, size:464 
checkpoint:164, time:9812, size:272 
checkpoint:165, time:17631, size:488 
checkpoint:166, time:19423, size:472 
checkpoint:167, time:9259, size:128 
checkpoint:168, time:14873, size:400 
checkpoint:169, time:17903, size:440 
checkpoint:170, time:4533, size:0 
checkpoint:171, time:14273, size:416 
checkpoint:172, time:17406, size:472 
checkpoint:173, time:18297, size:456 
checkpoint:174, time:9610, size:248 
checkpoint:175, time:18410, size:504 
checkpoint:176, time:18454, size:432 
checkpoint:177, time:9073, size:120 
checkpoint:178, time:14866, size:400 
checkpoint:179, time:17691, size:440 
checkpoint:180, time:4533, size:0 
checkpoint:181, time:14616, size:448 
checkpoint:182, time:16531, size:416 
checkpoint:183, time:17871, size:456 
checkpoint:184, time:9810, size:272 
checkpoint:185, time:16592, size:416 
checkpoint:186, time:18577, size:408 
checkpoint:187, time:9259, size:128 
checkpoint:188, time:15593, size:424 
checkpoint:189, time:17504, size:432 
checkpoint:190, time:4533, size:0 
checkpoint:191, time:13092, size:328 
checkpoint:192, time:17155, size:440 
checkpoint:193, time:18033, size:440 
checkpoint:194, time:12496, size:240 
checkpoint:195, time:16567, size:424 
checkpoint:196, time:18310, size:416 
checkpoint:197, time:9221, size:112 
checkpoint:198, time:15279, size:400 
checkpoint:199, time:18313, size:480 
checkpoint:200, time:4533, size:0 
checkpoint:201, time:13905, size:376 
checkpoint:202, time:16825, size:416 
checkpoint:203, time:16799, size:368 
checkpoint:204, time:12565, size:248 
checkpoint:205, time:16083, size:392 
checkpoint:206, time:18363, size:408 
checkpoint:207, time:9074, size:120 
checkpoint:208, time:15664, size:432 
checkpoint:209, time:18856, size:464 
checkpoint:210, time:4677, size:0 
checkpoint:211, time:14418, size:424 
checkpoint:212, time:16289, size:400 
checkpoint:213, time:18051, size:376 
checkpoint:214, time:12286, size:264 
checkpoint:215, time:15596, size:360 
checkpoint:216, time:18179, size:400 
checkpoint:217, time:8875, size:96 
checkpoint:218, time:16415, size:496 
checkpoint:219, time:18309, size:424 
checkpoint:220, time:4677, size:0 
checkpoint:221, time:13904, size:376 
checkpoint:222, time:17538, size:488 
checkpoint:223, time:17968, size:432 
checkpoint:224, time:12455, size:224 
checkpoint:225, time:17173, size:472 
checkpoint:226, time:18294, size:424 
checkpoint:227, time:8877, size:96 
checkpoint:228, time:15839, size:464 
checkpoint:229, time:17175, size:392 
checkpoint:230, time:4677, size:0 
checkpoint:231, time:14482, size:432 
checkpoint:232, time:17693, size:456 
checkpoint:233, time:16737, size:336 
checkpoint:234, time:12193, size:192 
checkpoint:235, time:16122, size:424 
checkpoint:236, time:18494, size:424 
checkpoint:237, time:8876, size:96 
checkpoint:238, time:16258, size:464 
checkpoint:239, time:17793, size:432 
checkpoint:240, time:4677, size:0 
checkpoint:241, time:14416, size:408 
checkpoint:242, time:17660, size:488 
checkpoint:243, time:17836, size:416 
checkpoint:244, time:12220, size:184 
checkpoint:245, time:15659, size:392 
checkpoint:246, time:21213, size:536 
checkpoint:247, time:8808, size:88 
checkpoint:248, time:15926, size:400 
checkpoint:249, time:17178, size:392 
checkpoint:250, time:4677, size:0 
checkpoint:251, time:13509, size:312 
checkpoint:252, time:17746, size:448 
checkpoint:253, time:17559, size:392 
checkpoint:254, time:12651, size:248 
checkpoint:255, time:17358, size:480 
checkpoint:256, time:17664, size:376 
checkpoint:257, time:8879, size:96 
checkpoint:258, time:15625, size:400 
checkpoint:259, time:18499, size:472 
checkpoint:260, time:5827, size:16 
checkpoint:261, time:14152, size:376 
checkpoint:262, time:17645, size:472 
checkpoint:263, time:18035, size:440 
checkpoint:264, time:12650, size:248 
checkpoint:265, time:16921, size:416 
checkpoint:266, time:19093, size:456 
checkpoint:267, time:8877, size:96 
checkpoint:268, time:16495, size:456 
checkpoint:269, time:18116, size:456 
checkpoint:270, time:5827, size:16 
checkpoint:271, time:14020, size:360 
checkpoint:272, time:16765, size:368 
checkpoint:273, time:18441, size:448 
checkpoint:274, time:12070, size:192 
checkpoint:275, time:17825, size:472 
checkpoint:276, time:18358, size:432 
checkpoint:277, time:9155, size:104 
checkpoint:278, time:15718, size:376 
checkpoint:279, time:17849, size:408 
checkpoint:280, time:5827, size:16 
checkpoint:281, time:14416, size:408 
checkpoint:282, time:16957, size:392 
checkpoint:283, time:17447, size:408 
checkpoint:284, time:12325, size:208 
checkpoint:285, time:16044, size:400 
checkpoint:286, time:19037, size:464 
checkpoint:287, time:8877, size:96 
checkpoint:288, time:15952, size:440 
checkpoint:289, time:17964, size:448 
checkpoint:290, time:5826, size:16 
checkpoint:291, time:14377, size:368 
checkpoint:292, time:17100, size:424 
checkpoint:293, time:17534, size:392 
checkpoint:294, time:12257, size:200 
checkpoint:295, time:16069, size:392 
checkpoint:296, time:19384, size:456 
checkpoint:297, time:8875, size:96 
checkpoint:298, time:16116, size:424 
checkpoint:299, time:17685, size:352 
checkpoint:300, time:5826, size:16 
checkpoint:301, time:13970, size:368 
checkpoint:302, time:17220, size:424 
checkpoint:303, time:17646, size:392 
checkpoint:304, time:12521, size:232 
checkpoint:305, time:16113, size:408 
checkpoint:306, time:18693, size:400 
checkpoint:307, time:9155, size:104 
checkpoint:308, time:17071, size:472 
checkpoint:309, time:18715, size:448 
checkpoint:310, time:5828, size:16 
checkpoint:311, time:13954, size:352 
checkpoint:312, time:18284, size:488 
checkpoint:313, time:17988, size:408 
checkpoint:314, time:12588, size:240 
checkpoint:315, time:16177, size:416 
checkpoint:316, time:19207, size:448 
checkpoint:317, time:8876, size:96 
checkpoint:318, time:16442, size:464 
checkpoint:319, time:17660, size:400 
checkpoint:320, time:8608, size:112 
checkpoint:321, time:13833, size:352 
checkpoint:322, time:16356, size:384 
checkpoint:323, time:19097, size:464 
checkpoint:324, time:12389, size:216 
checkpoint:325, time:16455, size:424 
checkpoint:326, time:19601, size:456 
checkpoint:327, time:8676, size:72 
checkpoint:328, time:16240, size:440 
checkpoint:329, time:17796, size:416 
checkpoint:330, time:8554, size:104 
checkpoint:331, time:13185, size:288 
checkpoint:332, time:16582, size:384 
checkpoint:333, time:19292, size:488 
checkpoint:334, time:12325, size:208 
checkpoint:335, time:15407, size:360 
checkpoint:336, time:18883, size:408 
checkpoint:337, time:8679, size:72 
checkpoint:338, time:16444, size:464 
checkpoint:339, time:18517, size:424 
checkpoint:340, time:9275, size:128 
checkpoint:341, time:14573, size:392 
checkpoint:342, time:18096, size:480 
checkpoint:343, time:17853, size:392 
checkpoint:344, time:12259, size:200 
checkpoint:345, time:16909, size:440 
checkpoint:346, time:18468, size:408 
checkpoint:347, time:8677, size:72 
checkpoint:348, time:16242, size:440 
checkpoint:349, time:17465, size:376 
checkpoint:350, time:9471, size:152 
checkpoint:351, time:13461, size:320 
checkpoint:352, time:17682, size:480 
checkpoint:353, time:17316, size:392 
checkpoint:354, time:12188, size:192 
checkpoint:355, time:17575, size:456 
checkpoint:356, time:18150, size:384 
checkpoint:357, time:8680, size:72 
checkpoint:358, time:15340, size:392 
checkpoint:359, time:18336, size:440 
checkpoint:360, time:8542, size:104 
checkpoint:361, time:13967, size:368 
checkpoint:362, time:18410, size:504 
checkpoint:363, time:19305, size:464 
checkpoint:364, time:13170, size:232 
checkpoint:365, time:16527, size:408 
checkpoint:366, time:17503, size:408 
checkpoint:367, time:8680, size:72 
checkpoint:368, time:15708, size:400 
checkpoint:369, time:19159, size:464 
checkpoint:370, time:12822, size:280 
checkpoint:371, time:13767, size:344 
checkpoint:372, time:17091, size:408 
checkpoint:373, time:18363, size:440 
checkpoint:374, time:12127, size:184 
checkpoint:375, time:16715, size:416 
checkpoint:376, time:19151, size:440 
checkpoint:377, time:4149, size:0 
checkpoint:378, time:17806, size:520 
checkpoint:379, time:19186, size:480 
checkpoint:380, time:13483, size:280 
checkpoint:381, time:13516, size:328 
checkpoint:382, time:16489, size:400 
checkpoint:383, time:18100, size:432 
checkpoint:384, time:12320, size:208 
checkpoint:385, time:16977, size:448 
checkpoint:386, time:19602, size:496 
checkpoint:387, time:4149, size:0 
checkpoint:388, time:18100, size:520 
checkpoint:389, time:18360, size:408 
checkpoint:390, time:12944, size:280 
checkpoint:391, time:13636, size:328 
checkpoint:392, time:16556, size:408 
checkpoint:393, time:19567, size:496 
