spawn telnet localhost 3457
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11A238 EBP=0x11A2A8
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:93, page_time:13194989, size_db:790528, actual:786792 
checkpoint:94, page_time:8808187, size_db:528384, actual:524584 
checkpoint:95, page_time:4371461, size_db:266240, actual:262376 
checkpoint:96, page_time:4370353, size_db:266240, actual:262376 
checkpoint:97, page_time:4370399, size_db:266240, actual:262376 
checkpoint:98, page_time:8807986, size_db:528384, actual:524584 
checkpoint:99, page_time:4374053, size_db:266240, actual:262376 
checkpoint:100, page_time:13196963, size_db:790528, actual:786792 
checkpoint:101, page_time:8809340, size_db:528384, actual:524584 
checkpoint:102, page_time:17588104, size_db:1052672, actual:1049000 
checkpoint:103, page_time:4374112, size_db:266240, actual:262376 
checkpoint:104, page_time:13198141, size_db:790528, actual:786792 
checkpoint:105, page_time:8809266, size_db:528384, actual:524584 
checkpoint:106, page_time:8809352, size_db:528384, actual:524584 
checkpoint:107, page_time:17593713, size_db:1052672, actual:1049000 
checkpoint:108, page_time:13195767, size_db:790528, actual:786792 
checkpoint:109, page_time:8809338, size_db:528384, actual:524584 
checkpoint:110, page_time:8805555, size_db:528384, actual:524584 
checkpoint:111, page_time:8807669, size_db:528384, actual:524584 
checkpoint:112, page_time:13199853, size_db:790528, actual:786792 
checkpoint:113, page_time:17586163, size_db:1052672, actual:1049000 
checkpoint:114, page_time:13194624, size_db:790528, actual:786792 
checkpoint:115, page_time:4377534, size_db:266240, actual:262376 
checkpoint:116, page_time:4372817, size_db:266240, actual:262376 
checkpoint:117, page_time:8809270, size_db:528384, actual:524584 
checkpoint:118, page_time:8809272, size_db:528384, actual:524584 
checkpoint:119, page_time:17588646, size_db:1052672, actual:1049000 
checkpoint:120, page_time:8809250, size_db:528384, actual:524584 
