spawn telnet localhost 3469
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11B218 EBP=0x11B288
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:116,time:832817312,copy_size:3436602 
checkpoint:117,time:829834294,copy_size:3419386 
checkpoint:118,time:840390135,copy_size:3482892 
checkpoint:119,time:775673664,copy_size:3180340 
checkpoint:120,time:657829160,copy_size:2653608 
checkpoint:121,time:665982895,copy_size:2713560 
checkpoint:122,time:696482907,copy_size:2846736 
checkpoint:123,time:659882658,copy_size:2694970 
checkpoint:124,time:688984928,copy_size:2812086 
checkpoint:125,time:682675646,copy_size:2779736 
checkpoint:126,time:667492529,copy_size:2728542 
checkpoint:127,time:671449147,copy_size:2741982 
checkpoint:128,time:689147850,copy_size:2818166 
checkpoint:129,time:684703456,copy_size:2788928 
checkpoint:130,time:677148376,copy_size:2763312 
checkpoint:131,time:702487493,copy_size:2863248 
checkpoint:132,time:649341499,copy_size:2648314 
checkpoint:133,time:678280000,copy_size:2772620 
checkpoint:134,time:676235099,copy_size:2763744 
checkpoint:135,time:704427051,copy_size:2882378 
checkpoint:136,time:685308732,copy_size:2806370 
checkpoint:137,time:665327586,copy_size:2706436 
checkpoint:138,time:700716577,copy_size:2872724 
checkpoint:139,time:675548045,copy_size:2773036 
checkpoint:140,time:719728108,copy_size:2959658 
checkpoint:141,time:695234315,copy_size:2842192 
checkpoint:142,time:745816511,copy_size:3062276 
checkpoint:143,time:836419874,copy_size:3456878 
checkpoint:144,time:856450259,copy_size:3543570 
checkpoint:145,time:869643312,copy_size:3581376 
checkpoint:146,time:859022898,copy_size:3540376 
checkpoint:147,time:865869346,copy_size:3558578 
checkpoint:148,time:846396409,copy_size:3478966 
checkpoint:149,time:812079537,copy_size:3362800 
checkpoint:150,time:838739349,copy_size:3444040 
checkpoint:151,time:780632814,copy_size:3225524 
checkpoint:152,time:665168499,copy_size:2705580 
checkpoint:153,time:730401514,copy_size:2985448 
checkpoint:154,time:690845702,copy_size:2830414 
checkpoint:155,time:680516282,copy_size:2779346 
checkpoint:156,time:655961079,copy_size:2673122 
checkpoint:157,time:662597186,copy_size:2704456 
checkpoint:158,time:680613387,copy_size:2775484 
checkpoint:159,time:722096381,copy_size:2960216 
checkpoint:160,time:685937667,copy_size:2803024 
checkpoint:161,time:672539784,copy_size:2749052 
checkpoint:162,time:692717922,copy_size:2835284 
checkpoint:163,time:674620847,copy_size:2763482 
checkpoint:164,time:670725726,copy_size:2740584 
checkpoint:165,time:675098958,copy_size:2762062 
checkpoint:166,time:681912465,copy_size:2788036 
checkpoint:167,time:689385387,copy_size:2816976 
checkpoint:168,time:670595583,copy_size:2736312 
checkpoint:169,time:689321487,copy_size:2809092 
checkpoint:170,time:690140495,copy_size:2815596 
checkpoint:171,time:666680445,copy_size:2719964 
checkpoint:172,time:767030057,copy_size:3149402 
checkpoint:173,time:829789916,copy_size:3424846 
checkpoint:174,time:858765112,copy_size:3548814 
checkpoint:175,time:816375216,copy_size:3362198 
checkpoint:176,time:856178829,copy_size:3532660 
checkpoint:177,time:828446898,copy_size:3417150 
checkpoint:178,time:854221057,copy_size:3511934 
checkpoint:179,time:838277862,copy_size:3467558 
checkpoint:180,time:826839363,copy_size:3414252 
checkpoint:181,time:810003354,copy_size:3327314 
checkpoint:182,time:741405886,copy_size:3033390 
checkpoint:183,time:661525075,copy_size:2676152 
checkpoint:184,time:669219853,copy_size:2730904 
checkpoint:185,time:656397081,copy_size:2676804 
checkpoint:186,time:677069294,copy_size:2766150 
checkpoint:187,time:654598283,copy_size:2678728 
checkpoint:188,time:686545078,copy_size:2812954 
checkpoint:189,time:669624898,copy_size:2726978 
checkpoint:190,time:666670685,copy_size:2734682 
checkpoint:191,time:671900240,copy_size:2759478 
checkpoint:192,time:708977871,copy_size:2901094 
checkpoint:193,time:678858937,copy_size:2777150 
checkpoint:194,time:686135102,copy_size:2793976 
checkpoint:195,time:678341868,copy_size:2769764 
checkpoint:196,time:684669845,copy_size:2802442 
checkpoint:197,time:670815619,copy_size:2741338 
checkpoint:198,time:694706697,copy_size:2837284 
checkpoint:199,time:662948499,copy_size:2698148 
checkpoint:200,time:670803181,copy_size:2731072 
checkpoint:201,time:721892523,copy_size:2955750 
checkpoint:202,time:676219730,copy_size:2760464 
checkpoint:203,time:739905847,copy_size:3048806 
checkpoint:204,time:671392730,copy_size:2734064 
checkpoint:205,time:682935039,copy_size:2796364 
checkpoint:206,time:789682598,copy_size:3268798 
checkpoint:207,time:844133559,copy_size:3475396 
checkpoint:208,time:868923144,copy_size:3567972 
checkpoint:209,time:823495039,copy_size:3377050 
checkpoint:210,time:840468393,copy_size:3439748 
checkpoint:211,time:817823460,copy_size:3363888 
checkpoint:212,time:826563204,copy_size:3405736 
checkpoint:213,time:847350499,copy_size:3500996 
checkpoint:214,time:795730697,copy_size:3279758 
checkpoint:215,time:801777301,copy_size:3317070 
checkpoint:216,time:664840343,copy_size:2693360 
checkpoint:217,time:680930919,copy_size:2779922 
checkpoint:218,time:760791009,copy_size:3127188 
checkpoint:219,time:852062970,copy_size:3503948 
checkpoint:220,time:820005021,copy_size:3347772 
checkpoint:221,time:820046297,copy_size:3361648 
checkpoint:222,time:875251811,copy_size:3600582 
checkpoint:223,time:835327766,copy_size:3440714 
checkpoint:224,time:831886901,copy_size:3426520 
checkpoint:225,time:828585460,copy_size:3395060 
checkpoint:226,time:829892823,copy_size:3409598 
