spawn telnet localhost 3461
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11A218 EBP=0x11A288
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:121, page_time:5509467, size_db:409600
checkpoint:122, page_time:1831641, size_db:139264
checkpoint:123, page_time:1814681, size_db:139264
checkpoint:124, page_time:1821617, size_db:139264
checkpoint:125, page_time:3666079, size_db:274432
checkpoint:126, page_time:7360248, size_db:544768
checkpoint:127, page_time:3655488, size_db:274432
checkpoint:128, page_time:3655813, size_db:274432
checkpoint:129, page_time:1815363, size_db:139264
checkpoint:130, page_time:1815385, size_db:139264
checkpoint:131, page_time:3664424, size_db:274432
checkpoint:132, page_time:7360538, size_db:544768
checkpoint:133, page_time:1822061, size_db:139264
checkpoint:134, page_time:1818661, size_db:139264
checkpoint:135, page_time:5520495, size_db:409600
checkpoint:136, page_time:5516323, size_db:409600
checkpoint:137, page_time:3655666, size_db:274432
checkpoint:138, page_time:5517016, size_db:409600
checkpoint:139, page_time:1816314, size_db:139264
checkpoint:140, page_time:1816662, size_db:139264
checkpoint:141, page_time:5507432, size_db:409600
checkpoint:142, page_time:3652024, size_db:274432
checkpoint:143, page_time:3658834, size_db:274432
checkpoint:144, page_time:3654652, size_db:274432
checkpoint:145, page_time:3666910, size_db:274432
checkpoint:146, page_time:5509403, size_db:409600
checkpoint:147, page_time:3654985, size_db:274432
checkpoint:148, page_time:5519487, size_db:409600
checkpoint:149, page_time:3656213, size_db:274432
checkpoint:150, page_time:5523474, size_db:409600
checkpoint:151, page_time:1815121, size_db:139264
checkpoint:152, page_time:5514244, size_db:409600
checkpoint:153, page_time:3662357, size_db:274432
checkpoint:154, page_time:1824616, size_db:139264
checkpoint:155, page_time:1813775, size_db:139264
checkpoint:156, page_time:1815615, size_db:139264
checkpoint:157, page_time:7352758, size_db:544768
