spawn telnet localhost 3493
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11A238 EBP=0x11A2A8
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:121, page_time:1323854, size_db:94208
checkpoint:122, page_time:1439697, size_db:102400
checkpoint:123, page_time:2525175, size_db:176128
checkpoint:124, page_time:5747036, size_db:397312
checkpoint:125, page_time:1439885, size_db:102400
checkpoint:126, page_time:5748262, size_db:397312
checkpoint:127, page_time:2758270, size_db:192512
checkpoint:128, page_time:5748247, size_db:397312
checkpoint:129, page_time:1321608, size_db:94208
checkpoint:130, page_time:1381049, size_db:98304
checkpoint:131, page_time:3758942, size_db:262144
checkpoint:132, page_time:1266141, size_db:90112
checkpoint:133, page_time:4783931, size_db:331776
checkpoint:134, page_time:1439826, size_db:102400
checkpoint:135, page_time:3582340, size_db:249856
checkpoint:136, page_time:1266089, size_db:90112
checkpoint:137, page_time:2757806, size_db:192512
checkpoint:138, page_time:2407767, size_db:167936
checkpoint:139, page_time:4303415, size_db:299008
checkpoint:140, page_time:1208602, size_db:86016
checkpoint:141, page_time:2642622, size_db:184320
checkpoint:142, page_time:1208599, size_db:86016
checkpoint:143, page_time:1381008, size_db:98304
checkpoint:144, page_time:3582345, size_db:249856
checkpoint:145, page_time:1266141, size_db:90112
checkpoint:146, page_time:3938968, size_db:274432
checkpoint:147, page_time:1323119, size_db:94208
checkpoint:148, page_time:3757939, size_db:262144
checkpoint:149, page_time:1323551, size_db:94208
checkpoint:150, page_time:2877543, size_db:200704
checkpoint:151, page_time:3582311, size_db:249856
checkpoint:152, page_time:1207409, size_db:86016
checkpoint:153, page_time:1381216, size_db:98304
checkpoint:154, page_time:2877541, size_db:200704
checkpoint:155, page_time:1381217, size_db:98304
checkpoint:156, page_time:2877550, size_db:200704
checkpoint:157, page_time:1323742, size_db:94208
checkpoint:158, page_time:2642639, size_db:184320
checkpoint:159, page_time:4121117, size_db:286720
checkpoint:160, page_time:1379056, size_db:98304
checkpoint:161, page_time:4121111, size_db:286720
checkpoint:162, page_time:4121098, size_db:286720
checkpoint:163, page_time:3582362, size_db:249856
checkpoint:164, page_time:3582291, size_db:249856
checkpoint:165, page_time:4305263, size_db:299008
checkpoint:166, page_time:1265855, size_db:90112
checkpoint:167, page_time:1438861, size_db:102400
checkpoint:168, page_time:2509771, size_db:176128
checkpoint:169, page_time:1381198, size_db:98304
checkpoint:170, page_time:1208070, size_db:86016
checkpoint:171, page_time:5018463, size_db:348160
checkpoint:172, page_time:5501960, size_db:380928
checkpoint:173, page_time:2386190, size_db:167936
checkpoint:174, page_time:1439702, size_db:102400
checkpoint:175, page_time:1381273, size_db:98304
checkpoint:176, page_time:1208441, size_db:86016
checkpoint:177, page_time:1266133, size_db:90112
checkpoint:178, page_time:1265641, size_db:90112
checkpoint:179, page_time:3939384, size_db:274432
checkpoint:180, page_time:1266079, size_db:90112
checkpoint:181, page_time:3939092, size_db:274432
checkpoint:182, page_time:1438249, size_db:102400
checkpoint:183, page_time:4121147, size_db:286720
checkpoint:184, page_time:1205760, size_db:86016
checkpoint:185, page_time:2760059, size_db:192512
checkpoint:186, page_time:4121107, size_db:286720
checkpoint:187, page_time:5020595, size_db:348160
checkpoint:188, page_time:4305026, size_db:299008
checkpoint:189, page_time:5020576, size_db:348160
checkpoint:190, page_time:4121120, size_db:286720
checkpoint:191, page_time:2760063, size_db:192512
checkpoint:192, page_time:5020549, size_db:348160
checkpoint:193, page_time:1208550, size_db:86016
checkpoint:194, page_time:3758916, size_db:262144
checkpoint:195, page_time:1381054, size_db:98304
checkpoint:196, page_time:4305219, size_db:299008
checkpoint:197, page_time:1265975, size_db:90112
checkpoint:198, page_time:1381056, size_db:98304
checkpoint:199, page_time:3758947, size_db:262144
checkpoint:200, page_time:2407730, size_db:167936
checkpoint:201, page_time:1264779, size_db:90112
checkpoint:202, page_time:2407742, size_db:167936
checkpoint:203, page_time:2642624, size_db:184320
checkpoint:204, page_time:5018867, size_db:348160
checkpoint:205, page_time:2407744, size_db:167936
checkpoint:206, page_time:2525192, size_db:176128
checkpoint:207, page_time:4120354, size_db:286720
checkpoint:208, page_time:1439843, size_db:102400
checkpoint:209, page_time:1439266, size_db:102400
