spawn telnet localhost 3465
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11B218 EBP=0x11B288
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:112,time:1564505391,copy_size:4284904 
checkpoint:113,time:1546639202,copy_size:4232034 
checkpoint:114,time:1578980730,copy_size:4324492 
checkpoint:115,time:1572070102,copy_size:4304478 
checkpoint:116,time:1538594081,copy_size:4212050 
checkpoint:117,time:1596986477,copy_size:4371798 
checkpoint:118,time:1568919670,copy_size:4294878 
checkpoint:119,time:1510893192,copy_size:4132118 
checkpoint:120,time:1507301315,copy_size:4123972 
checkpoint:121,time:1533161970,copy_size:4195246 
checkpoint:122,time:1588714964,copy_size:4351232 
checkpoint:123,time:1622223856,copy_size:4445440 
checkpoint:124,time:1576213994,copy_size:4318010 
checkpoint:125,time:1525753793,copy_size:4175526 
checkpoint:126,time:1576162631,copy_size:4316790 
checkpoint:127,time:1556300673,copy_size:4260116 
checkpoint:128,time:1610094211,copy_size:4412804 
checkpoint:129,time:1575990796,copy_size:4317132 
checkpoint:130,time:1577779919,copy_size:4320234 
checkpoint:131,time:1573155291,copy_size:4306768 
checkpoint:132,time:1565729409,copy_size:4288220 
checkpoint:133,time:1564181934,copy_size:4281874 
checkpoint:134,time:1510018913,copy_size:4130236 
checkpoint:135,time:1551448793,copy_size:4246768 
checkpoint:136,time:1565131886,copy_size:4285204 
checkpoint:137,time:1535214928,copy_size:4202560 
checkpoint:138,time:1568881691,copy_size:4297248 
checkpoint:139,time:1567418727,copy_size:4291650 
checkpoint:140,time:1601735802,copy_size:4389298 
checkpoint:141,time:1553887947,copy_size:4255148 
checkpoint:142,time:1530485516,copy_size:4185232 
checkpoint:143,time:1579539597,copy_size:4327344 
checkpoint:144,time:1589621096,copy_size:4354966 
checkpoint:145,time:1605103616,copy_size:4398508 
checkpoint:146,time:1604377159,copy_size:4397084 
checkpoint:147,time:1557458769,copy_size:4262846 
checkpoint:148,time:1582510610,copy_size:4337490 
checkpoint:149,time:1608087048,copy_size:4406746 
checkpoint:150,time:1495561153,copy_size:4089374 
checkpoint:151,time:1578314205,copy_size:4323788 
checkpoint:152,time:1567964157,copy_size:4289738 
checkpoint:153,time:1548827141,copy_size:4241852 
checkpoint:154,time:1588101685,copy_size:4347822 
checkpoint:155,time:1539265709,copy_size:4215050 
checkpoint:156,time:1569011856,copy_size:4294644 
checkpoint:157,time:1576489325,copy_size:4317250 
checkpoint:158,time:1585158679,copy_size:4340442 
checkpoint:159,time:1562187607,copy_size:4274416 
checkpoint:160,time:1547652319,copy_size:4236054 
checkpoint:161,time:1552494121,copy_size:4250186 
checkpoint:162,time:1579236538,copy_size:4324816 
checkpoint:163,time:1525787114,copy_size:4173550 
checkpoint:164,time:1551767003,copy_size:4246644 
checkpoint:165,time:1527139865,copy_size:4180368 
checkpoint:166,time:1617242481,copy_size:4432922 
checkpoint:167,time:1581873030,copy_size:4329852 
checkpoint:168,time:1590046054,copy_size:4357314 
checkpoint:169,time:1570226651,copy_size:4301176 
checkpoint:170,time:1548889850,copy_size:4239098 
checkpoint:171,time:1551092549,copy_size:4245762 
checkpoint:172,time:1581527318,copy_size:4331470 
checkpoint:173,time:1584417619,copy_size:4338658 
checkpoint:174,time:1495790249,copy_size:4091676 
checkpoint:175,time:1564342988,copy_size:4279406 
checkpoint:176,time:1537703045,copy_size:4207556 
checkpoint:177,time:1525853742,copy_size:4173416 
checkpoint:178,time:1567984652,copy_size:4293422 
checkpoint:179,time:1591838193,copy_size:4360822 
checkpoint:180,time:1622534895,copy_size:4445826 
checkpoint:181,time:1519811619,copy_size:4157046 
checkpoint:182,time:1553981358,copy_size:4250778 
checkpoint:183,time:1578707547,copy_size:4325102 
checkpoint:184,time:1568618835,copy_size:4296536 
checkpoint:185,time:1550148520,copy_size:4244712 
checkpoint:186,time:1570150790,copy_size:4301212 
checkpoint:187,time:1530944772,copy_size:4187610 
checkpoint:188,time:1665359072,copy_size:4568050 
checkpoint:189,time:1595231850,copy_size:4371114 
checkpoint:190,time:1529067456,copy_size:4181734 
checkpoint:191,time:1530900147,copy_size:4188450 
checkpoint:192,time:1584569469,copy_size:4340628 
checkpoint:193,time:1535952991,copy_size:4202820 
checkpoint:194,time:1532368615,copy_size:4193754 
checkpoint:195,time:1566140994,copy_size:4288894 
checkpoint:196,time:1581019096,copy_size:4331838 
checkpoint:197,time:1575705066,copy_size:4315612 
checkpoint:198,time:1533589111,copy_size:4195560 
checkpoint:199,time:1559811012,copy_size:4270528 
checkpoint:200,time:1542334537,copy_size:4220070 
checkpoint:201,time:1561518850,copy_size:4275526 
checkpoint:202,time:1549754315,copy_size:4241544 
checkpoint:203,time:1567244736,copy_size:4291652 
checkpoint:204,time:1540442009,copy_size:4215872 
checkpoint:205,time:1592024289,copy_size:4361266 
checkpoint:206,time:1584273039,copy_size:4336832 
checkpoint:207,time:1530912568,copy_size:4191444 
checkpoint:208,time:1509179546,copy_size:4128044 
checkpoint:209,time:1576280021,copy_size:4317018 
checkpoint:210,time:1576324444,copy_size:4317624 
checkpoint:211,time:1544030372,copy_size:4225552 
checkpoint:212,time:1566166348,copy_size:4288868 
checkpoint:213,time:1540510892,copy_size:4215584 
checkpoint:214,time:1527366943,copy_size:4180452 
checkpoint:215,time:1556626105,copy_size:4261086 
checkpoint:216,time:1566533688,copy_size:4289036 
checkpoint:217,time:1511704565,copy_size:4135326 
checkpoint:218,time:1569165655,copy_size:4297048 
checkpoint:219,time:1521545970,copy_size:4160268 
checkpoint:220,time:1552949991,copy_size:4251314 
checkpoint:221,time:1489976889,copy_size:4074076 
checkpoint:222,time:1586226640,copy_size:4344448 
checkpoint:223,time:1509254003,copy_size:4125128 
checkpoint:224,time:1578854949,copy_size:4323738 
checkpoint:225,time:1519413472,copy_size:4157514 
checkpoint:226,time:1618382886,copy_size:4436960 
checkpoint:227,time:1571503148,copy_size:4303034 
checkpoint:228,time:1570746126,copy_size:4300752 
checkpoint:229,time:1613071682,copy_size:4420050 
checkpoint:230,time:1555026525,copy_size:4258188 
checkpoint:231,time:1529278078,copy_size:4183326 
checkpoint:232,time:1556312829,copy_size:4261162 
checkpoint:233,time:1565895270,copy_size:4286010 
checkpoint:234,time:1534043961,copy_size:4198940 
checkpoint:235,time:1499047838,copy_size:4099208 
checkpoint:236,time:1569445177,copy_size:4298506 
checkpoint:237,time:1513334811,copy_size:4140970 
checkpoint:238,time:1498032447,copy_size:4094904 
checkpoint:239,time:1571987928,copy_size:4305420 
checkpoint:240,time:1548934871,copy_size:4240916 
checkpoint:241,time:1578830454,copy_size:4322722 
checkpoint:242,time:1579702453,copy_size:4326874 
checkpoint:243,time:1533495793,copy_size:4196582 
checkpoint:244,time:1561152805,copy_size:4274276 
checkpoint:245,time:1544211189,copy_size:4225300 
checkpoint:246,time:1567177541,copy_size:4289334 
checkpoint:247,time:1578289637,copy_size:4320030 
checkpoint:248,time:1542563826,copy_size:4221556 
checkpoint:249,time:1523916294,copy_size:4169220 
checkpoint:250,time:1573125406,copy_size:4306518 
checkpoint:251,time:1577847502,copy_size:4322156 
checkpoint:252,time:1569842369,copy_size:4299446 
checkpoint:253,time:1536800126,copy_size:4206086 
checkpoint:254,time:1573302646,copy_size:4306386 
checkpoint:255,time:1586042114,copy_size:4345554 
checkpoint:256,time:1599842427,copy_size:4383496 
checkpoint:257,time:1541384316,copy_size:4220284 
checkpoint:258,time:1523524997,copy_size:4169662 
checkpoint:259,time:1504401246,copy_size:4112014 
checkpoint:260,time:1544835580,copy_size:4227950 
checkpoint:261,time:1554235331,copy_size:4253628 
checkpoint:262,time:1570593781,copy_size:4302254 
checkpoint:263,time:1550007970,copy_size:4244746 
