spawn telnet localhost 3457
Trying 127.0.0.1...
Connected to localhost.
Escape character is '^]'.
==== m5 terminal: Terminal 0 ====
            Starting IITK gemOS ......
Initial Segment Map: cs = 0x8 ds = 0x10 ss = 0x10
ESP=0x11B238 EBP=0x11B2A8
cr0=0xE0000011 cr3=0x70000 cr4=0x20
Initializing memory
base = 0x0 limit low = 0x0 high=0x0 ac_byte = 0x0 flags=0x0
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x9A flags=0xA
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x92 flags=0xE
base = 0x0 limit low = 0xFFFF high=0xF ac_byte = 0x8B flags=0xA
Initializing user segments
gemOS shell... 
Found the IDE device. class etc 0x1018000
Disk Initialization is successful for IDE disk 0x40
GemOS# init
Setting up init process ...
Page table setup done, launching init ...
exit
checkpoint:150, time:337725, size:1480 
checkpoint:151, time:244796, size:960 
checkpoint:152, time:417602, size:1856 
checkpoint:153, time:742092, size:3304 
checkpoint:154, time:512223, size:2600 
checkpoint:155, time:244490, size:960 
checkpoint:156, time:711108, size:3352 
checkpoint:157, time:246020, size:976 
checkpoint:158, time:529495, size:2648 
checkpoint:159, time:286547, size:1160 
checkpoint:160, time:246010, size:976 
checkpoint:161, time:420228, size:1816 
checkpoint:162, time:379730, size:1784 
checkpoint:163, time:729889, size:3240 
checkpoint:164, time:227583, size:776 
checkpoint:165, time:664152, size:3360 
checkpoint:166, time:641725, size:3304 
checkpoint:167, time:455503, size:2216 
checkpoint:168, time:244281, size:960 
checkpoint:169, time:385192, size:1816 
checkpoint:170, time:306607, size:1312 
checkpoint:171, time:321643, size:1400 
checkpoint:172, time:135598, size:264 
checkpoint:173, time:772606, size:3304 
checkpoint:174, time:512165, size:2600 
checkpoint:175, time:348266, size:1512 
checkpoint:176, time:380103, size:1784 
checkpoint:177, time:379028, size:1784 
checkpoint:178, time:245209, size:960 
checkpoint:179, time:381367, size:1784 
checkpoint:180, time:267557, size:1064 
checkpoint:181, time:118676, size:184 
checkpoint:182, time:246471, size:960 
checkpoint:183, time:624017, size:2600 
checkpoint:184, time:379715, size:1784 
